#Pose	CONSRANK_U	CONSRANK	contact_log_sum	contact_square_sum	residue_sum	residue_average	residue_log_sum	residue_square_sum	residue_average_ligand	residue_average_receptor	residue_sum_ligand	residue_sum_receptor
79	0.4850000000000002	0.012435897435897441	-177.07923444619692	0.008025000000000001	5.295000000000001	0.17650000000000002	-53.499806589696526	1.014075	0.14400000000000002	0.209	2.16	3.135
80	1.5450000000000002	0.04544117647058824	-119.57859197929997	0.12437500000000003	9.985000000000001	0.3566071428571429	-31.873343921116486	4.197574999999999	0.42321428571428577	0.29000000000000004	5.925000000000001	4.0600000000000005
81	0.7650000000000005	0.018658536585365863	-165.41148698312963	0.01612499999999999	4.98	0.1606451612903226	-63.36082060948005	1.09845	0.1528125	0.16900000000000004	2.445	2.5350000000000006
82	1.4849999999999999	0.040135135135135135	-138.61367170327918	0.12877499999999997	10.069999999999999	0.38730769230769224	-26.76470324083397	4.461649999999999	0.39499999999999996	0.3768181818181818	5.925	4.145
83	0.5500000000000003	0.015277777777777786	-158.19651824264795	0.011900000000000004	8.559999999999999	0.2951724137931034	-42.33752284025515	3.33895	0.42566666666666664	0.15535714285714283	6.385	2.175
84	1.955	0.05144736842105263	-122.51638560168223	0.15342500000000003	11.335000000000004	0.419814814814815	-25.070867878766297	5.249575	0.4665384615384616	0.37642857142857145	6.065000000000001	5.2700000000000005
85	1.7300000000000002	0.055806451612903235	-110.37777530121151	0.19669999999999993	11.885	0.4401851851851852	-23.412333535172127	5.635724999999999	0.4592307692307693	0.42250000000000004	5.970000000000001	5.915000000000001
86	2.890000000000001	0.0825714285714286	-91.73667616954593	0.29355000000000003	12.429999999999998	0.42862068965517236	-26.43522369061679	5.8786999999999985	0.43588235294117655	0.4183333333333333	7.410000000000001	5.02
87	1.57	0.05064516129032258	-98.87879335663507	0.11700000000000002	8.99	0.35960000000000003	-27.54293297737673	3.73745	0.3142307692307692	0.40875	4.085	4.905
88	2.275	0.091	-63.675268024607455	0.25887499999999997	10.09	0.4586363636363636	-18.506015619416925	5.02905	0.48000000000000004	0.43727272727272726	5.28	4.81
89	0.6050000000000002	0.020862068965517247	-120.10220580391763	0.021374999999999998	7.010000000000001	0.31863636363636366	-29.601791024104223	3.0608999999999997	0.20071428571428568	0.525	2.8099999999999996	4.2
90	1.2500000000000002	0.03906250000000001	-121.63427123723406	0.10630000000000002	8.44	0.3669565217391304	-26.253966929422642	3.7933999999999997	0.29181818181818175	0.4358333333333333	3.2099999999999995	5.2299999999999995
91	1.1050000000000004	0.03453125000000001	-114.17118303819956	0.058025	7.260000000000001	0.29040000000000005	-35.15598649590436	2.8476	0.16461538461538464	0.4266666666666667	2.14	5.12
92	1.1950000000000003	0.05195652173913045	-71.00735121517882	0.076325	8.745000000000001	0.3975	-22.322022353396466	4.038875	0.2975	0.4808333333333334	2.9749999999999996	5.7700000000000005
93	0.9800000000000004	0.03161290322580647	-111.40031887156238	0.0414	7.170000000000001	0.3259090909090909	-29.192373519055717	3.1128500000000003	0.1595	0.46458333333333335	1.595	5.575
94	0.6100000000000002	0.01648648648648649	-159.63141478560706	0.014	9.684999999999999	0.3228333333333333	-37.328279865412824	3.718925000000001	0.431875	0.19821428571428573	6.91	2.7750000000000004
95	2.475	0.0853448275862069	-75.3297570538995	0.267825	10.794999999999998	0.46934782608695647	-18.245010974465472	5.364224999999999	0.4539285714285715	0.4933333333333333	6.355000000000001	4.4399999999999995
96	0.9050000000000005	0.024459459459459473	-141.98885104822475	0.02752500000000001	5.984999999999999	0.20637931034482757	-48.23199803164734	1.4583749999999998	0.21035714285714285	0.20266666666666672	2.945	3.040000000000001
97	1.37	0.04419354838709678	-101.45192815763555	0.07820000000000002	7.865	0.3025	-35.31099586641834	3.1355250000000003	0.1775	0.40964285714285714	2.13	5.735
98	2.755000000000001	0.08348484848484851	-85.88225078751738	0.27872500000000006	11.549999999999995	0.44423076923076904	-22.46436018516571	5.5678	0.4261764705882353	0.4783333333333333	7.245	4.305
